county,station,month,year,AvgTemperature
Cambridgeshire,cambridge,1,1971,7.1
Cambridgeshire,cambridge,2,1971,7.9
Cambridgeshire,cambridge,3,1971,8.4
Cambridgeshire,cambridge,4,1971,11.5
Cambridgeshire,cambridge,5,1971,17.2
Cambridgeshire,cambridge,6,1971,16.9
Cambridgeshire,cambridge,7,1971,22.5
Cambridgeshire,cambridge,8,1971,20.8
Cambridgeshire,cambridge,9,1971,20.1
Cambridgeshire,cambridge,10,1971,16.5
Cambridgeshire,cambridge,11,1971,9.5
Cambridgeshire,cambridge,12,1971,8.9
Cambridgeshire,cambridge,1,1972,6
Cambridgeshire,cambridge,2,1972,7.5
Cambridgeshire,cambridge,3,1972,11.8
Cambridgeshire,cambridge,4,1972,12.1
Cambridgeshire,cambridge,5,1972,15.7
Cambridgeshire,cambridge,6,1972,17.4
Cambridgeshire,cambridge,7,1972,20.9
Cambridgeshire,cambridge,8,1972,20.8
Cambridgeshire,cambridge,9,1972,16.4
Cambridgeshire,cambridge,10,1972,15.3
Cambridgeshire,cambridge,11,1972,9.6
Cambridgeshire,cambridge,12,1972,8.6
Cambridgeshire,cambridge,1,1973,6.9
Cambridgeshire,cambridge,2,1973,7.8
Cambridgeshire,cambridge,3,1973,11.1
Cambridgeshire,cambridge,4,1973,12
Cambridgeshire,cambridge,5,1973,16.7
Cambridgeshire,cambridge,6,1973,21.2
Cambridgeshire,cambridge,7,1973,20.9
Cambridgeshire,cambridge,8,1973,23.1
Cambridgeshire,cambridge,9,1973,20.1
Cambridgeshire,cambridge,10,1973,13.3
Cambridgeshire,cambridge,11,1973,9.5
Cambridgeshire,cambridge,12,1973,8
Cambridgeshire,cambridge,2,1974,8.6
Cambridgeshire,cambridge,3,1974,9.6
Cambridgeshire,cambridge,4,1974,13.4
Cambridgeshire,cambridge,5,1974,16.2
Cambridgeshire,cambridge,6,1974,19.3
Cambridgeshire,cambridge,7,1974,20.1
Cambridgeshire,cambridge,8,1974,20.8
Cambridgeshire,cambridge,9,1974,16.9
Cambridgeshire,cambridge,10,1974,10.7
Cambridgeshire,cambridge,12,1974,10.6
Cambridgeshire,cambridge,1,1975,10.1
Cambridgeshire,cambridge,2,1975,8.3
Cambridgeshire,cambridge,3,1975,7.8
Cambridgeshire,cambridge,4,1975,12.6
Cambridgeshire,cambridge,5,1975,14.4
Cambridgeshire,cambridge,6,1975,20.8
Cambridgeshire,cambridge,7,1975,23.4
Cambridgeshire,cambridge,8,1975,25.3
Cambridgeshire,cambridge,9,1975,19.4
Cambridgeshire,cambridge,10,1975,14.2
Cambridgeshire,cambridge,11,1975,9.1
Cambridgeshire,cambridge,12,1975,7.4
Cambridgeshire,cambridge,1,1976,8.3
Cambridgeshire,cambridge,2,1976,7.2
Cambridgeshire,cambridge,3,1976,9
Cambridgeshire,cambridge,4,1976,12.9
Cambridgeshire,cambridge,5,1976,17.9
Cambridgeshire,cambridge,6,1976,24.5
Cambridgeshire,cambridge,7,1976,25.7
Cambridgeshire,cambridge,8,1976,24.2
Cambridgeshire,cambridge,9,1976,18.1
Cambridgeshire,cambridge,10,1976,14.4
Cambridgeshire,cambridge,11,1976,9.3
Cambridgeshire,cambridge,12,1976,4.5
Cambridgeshire,cambridge,1,1977,5.3
Cambridgeshire,cambridge,2,1977,9
Cambridgeshire,cambridge,3,1977,11
Cambridgeshire,cambridge,4,1977,12.2
Cambridgeshire,cambridge,5,1977,15.7
Cambridgeshire,cambridge,6,1977,16.6
Cambridgeshire,cambridge,7,1977,21.3
Cambridgeshire,cambridge,8,1977,20
Cambridgeshire,cambridge,9,1977,18.1
Cambridgeshire,cambridge,10,1977,16.2
Cambridgeshire,cambridge,11,1977,9.6
Cambridgeshire,cambridge,12,1977,9
Cambridgeshire,cambridge,1,1978,5.9
Cambridgeshire,cambridge,2,1978,5.4
Cambridgeshire,cambridge,3,1978,11.1
Cambridgeshire,cambridge,4,1978,10.3
Cambridgeshire,cambridge,5,1978,16
Cambridgeshire,cambridge,6,1978,18.9
Cambridgeshire,cambridge,7,1978,19.4
Cambridgeshire,cambridge,8,1978,20.2
Cambridgeshire,cambridge,9,1978,19.3
Cambridgeshire,cambridge,10,1978,16.3
Cambridgeshire,cambridge,11,1978,11.7
Cambridgeshire,cambridge,12,1978,6.7
Cambridgeshire,cambridge,1,1979,2.5
Cambridgeshire,cambridge,2,1979,3.5
Cambridgeshire,cambridge,3,1979,8.4
Cambridgeshire,cambridge,4,1979,12.1
Cambridgeshire,cambridge,5,1979,15.9
Cambridgeshire,cambridge,6,1979,18.9
Cambridgeshire,cambridge,7,1979,21.8
Cambridgeshire,cambridge,8,1979,20.4
Cambridgeshire,cambridge,9,1979,19.3
Cambridgeshire,cambridge,10,1979,15.5
Cambridgeshire,cambridge,11,1979,10
Cambridgeshire,cambridge,12,1979,8.8
Cambridgeshire,cambridge,1,1980,5.6
Cambridgeshire,cambridge,2,1980,9.1
Cambridgeshire,cambridge,3,1980,8.5
Cambridgeshire,cambridge,4,1980,13.3
Cambridgeshire,cambridge,5,1980,16.4
Cambridgeshire,cambridge,6,1980,19.3
Cambridgeshire,cambridge,7,1980,19.3
Cambridgeshire,cambridge,8,1980,21.3
Cambridgeshire,cambridge,9,1980,19.5
Cambridgeshire,cambridge,10,1980,13.3
Cambridgeshire,cambridge,11,1980,8.9
Cambridgeshire,cambridge,12,1980,8.2
Cambridgeshire,cambridge,1,1981,7.4
Cambridgeshire,cambridge,2,1981,6.1
Cambridgeshire,cambridge,3,1981,11
Cambridgeshire,cambridge,4,1981,11.7
Cambridgeshire,cambridge,5,1981,15.8
Cambridgeshire,cambridge,6,1981,18.1
Cambridgeshire,cambridge,7,1981,20.8
Cambridgeshire,cambridge,8,1981,21.7
Cambridgeshire,cambridge,9,1981,19.9
Cambridgeshire,cambridge,10,1981,12.4
Cambridgeshire,cambridge,11,1981,10.9
Cambridgeshire,cambridge,12,1981,3
Cambridgeshire,cambridge,1,1982,5.6
Cambridgeshire,cambridge,2,1982,7.9
Cambridgeshire,cambridge,3,1982,10.5
Cambridgeshire,cambridge,4,1982,13.4
Cambridgeshire,cambridge,5,1982,17.3
Cambridgeshire,cambridge,6,1982,20.2
Cambridgeshire,cambridge,7,1982,21.8
Cambridgeshire,cambridge,8,1982,21.3
Cambridgeshire,cambridge,9,1982,19.9
Cambridgeshire,cambridge,10,1982,13.6
Cambridgeshire,cambridge,11,1982,10.6
Cambridgeshire,cambridge,12,1982,7.2
Cambridgeshire,cambridge,1,1983,9.5
Cambridgeshire,cambridge,2,1983,4.5
Cambridgeshire,cambridge,3,1983,10.2
Cambridgeshire,cambridge,4,1983,11.6
Cambridgeshire,cambridge,7,1983,25.8
Cambridgeshire,cambridge,8,1983,23.4
Cambridgeshire,cambridge,9,1983,18.2
Cambridgeshire,cambridge,10,1983,14.7
Cambridgeshire,cambridge,11,1983,10.4
Cambridgeshire,cambridge,12,1983,8.3
Cambridgeshire,cambridge,1,1984,6.9
Cambridgeshire,cambridge,2,1984,6.2
Cambridgeshire,cambridge,3,1984,8
Cambridgeshire,cambridge,4,1984,13.4
Cambridgeshire,cambridge,5,1984,14
Cambridgeshire,cambridge,6,1984,19.5
Cambridgeshire,cambridge,7,1984,22.3
Cambridgeshire,cambridge,8,1984,23.6
Cambridgeshire,cambridge,9,1984,17.5
Cambridgeshire,cambridge,10,1984,15.6
Cambridgeshire,cambridge,11,1984,11.2
Cambridgeshire,cambridge,12,1984,8.2
Cambridgeshire,cambridge,1,1985,3.4
Cambridgeshire,cambridge,2,1985,4.9
Cambridgeshire,cambridge,7,1985,21.8
Cambridgeshire,cambridge,8,1985,20.1
Cambridgeshire,cambridge,9,1985,20.1
Cambridgeshire,cambridge,10,1985,15.6
Cambridgeshire,cambridge,11,1985,7.1
Cambridgeshire,cambridge,12,1985,9.2
Cambridgeshire,cambridge,1,1986,6.3
Cambridgeshire,cambridge,2,1986,0.8
Cambridgeshire,cambridge,3,1986,9.3
Cambridgeshire,cambridge,4,1986,9.8
Cambridgeshire,cambridge,5,1986,16.3
Cambridgeshire,cambridge,6,1986,20.7
Cambridgeshire,cambridge,7,1986,21.7
Cambridgeshire,cambridge,8,1986,19.1
Cambridgeshire,cambridge,9,1986,17.1
Cambridgeshire,cambridge,10,1986,15.6
Cambridgeshire,cambridge,11,1986,11
Cambridgeshire,cambridge,12,1986,9
Cambridgeshire,cambridge,1,1987,2.8
Cambridgeshire,cambridge,4,1987,15.2
Cambridgeshire,cambridge,5,1987,14.9
Cambridgeshire,cambridge,6,1987,17.5
Cambridgeshire,cambridge,7,1987,20.6
Cambridgeshire,cambridge,8,1987,20.5
Cambridgeshire,cambridge,9,1987,18.8
Cambridgeshire,cambridge,10,1987,14.1
Cambridgeshire,cambridge,11,1987,9
Cambridgeshire,cambridge,12,1987,8.2
Cambridgeshire,cambridge,1,1988,8
Cambridgeshire,cambridge,2,1988,7.9
Cambridgeshire,cambridge,3,1988,9.7
Cambridgeshire,cambridge,5,1988,17
Cambridgeshire,cambridge,6,1988,18.3
Cambridgeshire,cambridge,7,1988,19.4
Cambridgeshire,cambridge,8,1988,21.4
Cambridgeshire,cambridge,12,1988,9.6
Cambridgeshire,cambridge,1,1989,8.9
Cambridgeshire,cambridge,2,1989,9.6
Cambridgeshire,cambridge,3,1989,12.3
Cambridgeshire,cambridge,4,1989,10.6
Cambridgeshire,cambridge,5,1989,19.7
Cambridgeshire,cambridge,6,1989,21.2
Cambridgeshire,cambridge,7,1989,24.8
Cambridgeshire,cambridge,8,1989,24.1
Cambridgeshire,cambridge,9,1989,20.5
Cambridgeshire,cambridge,10,1989,16.5
Cambridgeshire,cambridge,11,1989,9.9
Cambridgeshire,cambridge,12,1989,8.3
Cambridgeshire,cambridge,1,1990,9.8
Cambridgeshire,cambridge,2,1990,11.4
Cambridgeshire,cambridge,4,1990,13.5
Cambridgeshire,cambridge,5,1990,19.1
Cambridgeshire,cambridge,6,1990,19.2
Cambridgeshire,cambridge,7,1990,23.7
Cambridgeshire,cambridge,8,1990,25.7
Cambridgeshire,cambridge,9,1990,18.6
Cambridgeshire,cambridge,10,1990,16.2
Cambridgeshire,cambridge,11,1990,9.8
Cambridgeshire,cambridge,12,1990,6.9
Cambridgeshire,cambridge,1,1991,6.2
Cambridgeshire,cambridge,2,1991,4.6
Cambridgeshire,cambridge,3,1991,12
Cambridgeshire,cambridge,4,1991,12.4
Cambridgeshire,cambridge,5,1991,14.7
Cambridgeshire,cambridge,6,1991,16.7
Cambridgeshire,cambridge,7,1991,22.9
Cambridgeshire,cambridge,8,1991,23.7
Cambridgeshire,cambridge,9,1991,20.5
Cambridgeshire,cambridge,10,1991,14.1
Cambridgeshire,cambridge,11,1991,9.8
Cambridgeshire,cambridge,12,1991,7.3
Cambridgeshire,cambridge,1,1992,6.4
Cambridgeshire,cambridge,2,1992,9.2
Cambridgeshire,cambridge,3,1992,11.1
Cambridgeshire,cambridge,4,1992,13.2
Cambridgeshire,cambridge,5,1992,19.8
Cambridgeshire,cambridge,6,1992,21.7
Cambridgeshire,cambridge,7,1992,21.8
Cambridgeshire,cambridge,8,1992,21.2
Cambridgeshire,cambridge,9,1992,18.4
Cambridgeshire,cambridge,10,1992,11.5
Cambridgeshire,cambridge,11,1992,10.8
Cambridgeshire,cambridge,12,1992,6.4
Cambridgeshire,cambridge,1,1993,9.6
Cambridgeshire,cambridge,2,1993,6.6
Cambridgeshire,cambridge,3,1993,10.7
Cambridgeshire,cambridge,4,1993,13.4
Cambridgeshire,cambridge,5,1993,17.2
Cambridgeshire,cambridge,6,1993,20.4
Cambridgeshire,cambridge,7,1993,20.5
Cambridgeshire,cambridge,8,1993,20.5
Cambridgeshire,cambridge,9,1993,16.7
Cambridgeshire,cambridge,10,1993,12.1
Cambridgeshire,cambridge,11,1993,7.9
Cambridgeshire,cambridge,12,1993,8.5
Cambridgeshire,cambridge,1,1994,8.5
Cambridgeshire,cambridge,2,1994,6.7
